time,x,y,v,w,yaw
56.1997,0.507975,-0.00742288,0.00019115509114997598,0.0,-0.000831187
56.4997,0.50794,-0.00742285,4.7574322685210735e-05,0.0,-0.000831187
56.8997,0.507939,-0.00742285,7.236506134459613e-05,0.0,-0.000831187
57.1997,0.507975,-0.00742288,0.00015532906310990356,0.0,-0.000831187
57.5997,0.50794,-0.00742285,7.728511395595649e-05,0.0,-0.000831187
57.8997,0.507939,-0.00742285,8.220525119804488e-05,0.0,-0.000831187
58.2997,0.507971,-0.00742287,0.00011920903637990411,0.0,-0.000831187
58.5997,0.50794,-0.00742285,8.34549129940797e-05,0.0,-0.000831187
58.9997,0.508042,-0.00742293,0.0005185091693368757,0.0,-0.000831187
59.2997,0.50807,-0.00742296,0.0005123441712379296,0.0,-0.000831187
59.6997,0.508072,-0.00742296,0.0003699191057240285,0.0,-0.000831187
60.0997,0.508041,-0.00742293,6.547341651313914e-05,0.0,-0.000831187
60.3997,0.508071,-0.00742296,0.00021468408088469012,0.0,-0.000831187
60.7996,0.508075,-0.00742296,0.0001985020890031151,0.0,-0.000831187
61.0996,0.508042,-0.00742293,3.56629e-05,0.0,-0.000831187
61.4996,0.50804,-0.00742293,5.922561807421599e-05,0.0,-0.000831187
61.7996,0.508075,-0.00742296,0.00015414006262664715,0.0,-0.000831187
62.1996,0.508042,-0.00742293,7.148271514914679e-05,0.0,-0.000831187
62.5996,0.508042,-0.00742293,7.118396034335345e-05,0.0,-0.000831187
62.8996,0.508072,-0.00742296,0.00011918508183790831,0.0,-0.000831187
63.2996,0.508076,-0.00742296,0.00014345306840388004,0.0,-0.000831187
63.5996,0.508042,-0.00742293,7.713121392815842e-05,0.0,-0.000831187
63.9996,0.508041,-0.00742293,8.310585175890748e-05,0.0,-0.000831187
64.2996,0.508076,-0.00742296,0.00013717307122029283,0.0,-0.000831187
64.6996,0.508042,-0.00742293,8.405175234803007e-05,0.0,-0.000831187
64.9996,0.508041,-0.00742293,8.341311298758581e-05,0.0,-0.000831187
65.3996,0.508072,-0.00742296,0.0001125960380735977,0.0,-0.000831187
65.6996,0.508042,-0.00742293,8.222951280329203e-05,0.0,-0.000831187
66.0996,0.508042,-0.00742293,7.726971395314844e-05,0.0,-0.000831187
66.3996,0.508072,-0.00742296,0.00010743904047854236,0.0,-0.000831187
66.7996,0.508076,-0.00742296,0.00013917803211641215,0.0,-0.000831187
67.0995,0.508042,-0.00742293,7.726205580708276e-05,0.0,-0.000831187
67.4995,0.508041,-0.00742293,8.839054795486329e-05,0.0,-0.000831187
67.7995,0.508076,-0.00742296,0.0001360970706621072,0.0,-0.000831187
68.1995,0.508042,-0.00742293,8.334651297719663e-05,0.0,-0.000831187
68.4995,0.508041,-0.00742293,8.934444847244346e-05,0.0,-0.000831187
68.8995,0.508072,-0.00742296,0.00011319200956888053,0.0,-0.000831187
69.2995,0.508076,-0.00742296,0.0001370910316345504,0.0,-0.000831187
69.5995,0.508042,-0.00742293,8.308095174350021e-05,0.0,-0.000831187
69.9995,0.508041,-0.00742293,8.38153130501857e-05,0.0,-0.000831187
70.2995,0.508042,-0.00742293,8.32052518208843e-05,0.0,-0.000831187
70.6995,0.508042,-0.00742293,8.34966520023445e-05,0.0,-0.000831187
70.9995,0.508072,-0.00742296,0.00011305700955734883,0.0,-0.000831187
71.3995,0.508072,-0.00742296,0.00011336203833291748,0.0,-0.000831187
71.6995,0.508042,-0.00742293,7.738545589619492e-05,0.0,-0.000831187
72.0995,0.508041,-0.00742293,8.945174853058362e-05,0.0,-0.000831187
72.4995,0.508072,-0.00742296,0.00011913808180572753,0.0,-0.000831187
72.7995,0.508042,-0.00742293,8.330495188289748e-05,0.0,-0.000831187
73.1995,0.508042,-0.00742293,7.76413140202406e-05,0.0,-0.000831187
73.4995,0.508072,-0.00742296,0.00010721304039381171,0.0,-0.000831187
73.8994,0.508076,-0.00742296,0.0001376270714563818,0.0,-0.000831187
74.1994,0.508042,-0.00742293,8.346325198151681e-05,0.0,-0.000831187
74.5994,0.508041,-0.00742293,8.938021212297118e-05,0.0,-0.000831187
74.8994,0.508109,-0.00742299,0.0003377201141980633,0.0,-0.000831187
75.2994,0.508215,-0.00742308,0.0006983522631109168,0.0,-0.000831187
75.6994,0.50829,-0.00742314,0.000697374223876058,0.0,-0.000831187
75.9994,0.508388,-0.00742322,0.0010240703422711636,0.0,-0.000831187
76.3994,0.508391,-0.00742323,0.0006371962445784193,0.0,-0.000831187
76.6994,0.508481,-0.0074233,0.0009114953042019682,0.0,-0.000831187
77.0994,0.508594,-0.0074234,0.0010974903957107782,0.0,-0.000831187
77.3994,0.508615,-0.00742342,0.0008433773314163155,0.0,-0.000831187
77.7994,0.508597,-0.0074234,0.00041777612749470714,0.0,-0.000831187
